cellID cellType sampleID
cell_1021 CD4_tcells patient_2
cell_1022 CD4_tcells patient_2
cell_1023 CD4_tcells patient_2
cell_1024 CD4_tcells patient_2
cell_1025 CD4_tcells patient_2
cell_1026 CD4_tcells patient_2
cell_1027 CD4_tcells patient_2
cell_1028 CD4_tcells patient_2
cell_1029 CD4_tcells patient_2
cell_1030 CD4_tcells patient_2
cell_1031 CD4_tcells patient_2
cell_1032 CD4_tcells patient_2
cell_1033 CD4_tcells patient_2
cell_1034 CD4_tcells patient_2
cell_1035 CD4_tcells patient_2
cell_1036 CD4_tcells patient_2
cell_1037 CD4_tcells patient_2
cell_1038 CD4_tcells patient_2
cell_1039 CD4_tcells patient_2
cell_1040 CD4_tcells patient_2
cell_1041 CD4_tcells patient_2
cell_1042 CD4_tcells patient_2
cell_1043 CD4_tcells patient_2
cell_1044 CD4_tcells patient_2
cell_1045 CD4_tcells patient_2
cell_1046 CD8_tcells patient_2
cell_1047 CD8_tcells patient_2
cell_1048 CD8_tcells patient_2
cell_1049 CD8_tcells patient_2
cell_1050 CD8_tcells patient_2
cell_1051 CD8_tcells patient_2
cell_1052 CD8_tcells patient_2
cell_1053 CD8_tcells patient_2
cell_1054 CD8_tcells patient_2
cell_1055 CD8_tcells patient_2
cell_1056 CD8_tcells patient_2
cell_1057 CD8_tcells patient_2
cell_1058 CD8_tcells patient_2
cell_1059 CD8_tcells patient_2
cell_1060 CD8_tcells patient_2
cell_1061 CD8_tcells patient_2
cell_1062 CD8_tcells patient_2
cell_1063 CD8_tcells patient_2
cell_1064 CD8_tcells patient_2
cell_1065 D_cells patient_2
cell_1066 D_cells patient_2
cell_1067 D_cells patient_2
cell_1068 D_cells patient_2
cell_1069 D_cells patient_2
cell_1070 D_cells patient_2
cell_1071 D_cells patient_2
cell_1072 D_cells patient_2
cell_1073 D_cells patient_2
cell_1074 D_cells patient_2
cell_1075 D_cells patient_2
cell_1076 D_cells patient_2
cell_1077 D_cells patient_2
cell_1078 D_cells patient_2
cell_1079 D_cells patient_2
cell_1080 D_cells patient_2
cell_1081 D_cells patient_2
cell_1082 D_cells patient_2
cell_1083 D_cells patient_2
cell_1084 D_cells patient_2
cell_1085 D_cells patient_2
cell_1086 D_cells patient_2
cell_1087 D_cells patient_2
cell_1088 D_cells patient_2
cell_1089 D_cells patient_2
cell_1090 D_cells patient_2
cell_1091 D_cells patient_2
cell_1092 D_cells patient_2
cell_1093 D_cells patient_2
cell_1094 D_cells patient_2
cell_1095 D_cells patient_2
cell_1096 D_cells patient_2
cell_1097 D_cells patient_2
cell_1098 D_cells patient_2
cell_1099 D_cells patient_2
cell_1100 D_cells patient_2
cell_1101 D_cells patient_2
cell_1102 D_cells patient_2
cell_1103 D_cells patient_2
cell_1104 D_cells patient_2
cell_1105 D_cells patient_2
cell_1106 D_cells patient_2
cell_1107 D_cells patient_2
cell_1108 D_cells patient_2
cell_1109 D_cells patient_2
cell_1110 D_cells patient_2
cell_1111 M_M patient_2
cell_1112 M_M patient_2
cell_1113 M_M patient_2
cell_1114 M_M patient_2
cell_1115 M_M patient_2
cell_1116 M_M patient_2
cell_1117 M_M patient_2
cell_1118 M_M patient_2
cell_1119 M_M patient_2
cell_1120 M_M patient_2
cell_1121 M_M patient_2
cell_1122 M_M patient_2
cell_1123 M_M patient_2
cell_1124 M_M patient_2
cell_1125 M_M patient_2
cell_1126 M_M patient_2
cell_1127 M_M patient_2
cell_1128 M_M patient_2
cell_1129 M_M patient_2
cell_1130 M_M patient_2
cell_1131 M_M patient_2
cell_1132 M_M patient_2
cell_1133 M_M patient_2
cell_1134 M_M patient_2
cell_1135 M_M patient_2
cell_1136 M_M patient_2
cell_1137 M_M patient_2
cell_1138 M_M patient_2
cell_1139 M_M patient_2
cell_1140 M_M patient_2
cell_1141 M_M patient_2
cell_1142 M_M patient_2
cell_1143 M_M patient_2
cell_1144 M_M patient_2
cell_1145 M_M patient_2
cell_1146 M_M patient_2
cell_1147 M_M patient_2
cell_1148 M_M patient_2
cell_1149 M_M patient_2
cell_1150 M_M patient_2
cell_1151 M_M patient_2
cell_1152 M_M patient_2
cell_1153 M_M patient_2
cell_1154 M_M patient_2
cell_1155 M_M patient_2
cell_1156 M_M patient_2
cell_1157 M_M patient_2
cell_1158 M_M patient_2
cell_1159 M_M patient_2
cell_1160 M_M patient_2
cell_1161 M_M patient_2
cell_1162 M_M patient_2
cell_1163 M_M patient_2
cell_1164 M_M patient_2
cell_1165 M_M patient_2
cell_1166 M_M patient_2
cell_1167 M_M patient_2
cell_1168 M_M patient_2
cell_1169 M_M patient_2
cell_1170 M_M patient_2
cell_1171 M_M patient_2
cell_1172 M_M patient_2
cell_1173 M_M patient_2
cell_1174 M_M patient_2
cell_1175 M_M patient_2
cell_1176 M_M patient_2
cell_1177 M_M patient_2
cell_1178 M_M patient_2
cell_1179 M_M patient_2
cell_1180 M_M patient_2
cell_1181 M_M patient_2
cell_1182 M_M patient_2
cell_1183 M_M patient_2
cell_1184 M_M patient_2
cell_1185 M_M patient_2
cell_1186 M_M patient_2
cell_1187 M_M patient_2
cell_1188 M_M patient_2
cell_1189 M_M patient_2
cell_1190 M_M patient_2
cell_1191 M_M patient_2
cell_1192 M_M patient_2
cell_1193 M_M patient_2
cell_1194 M_M patient_2
cell_1195 M_M patient_2
cell_1196 M_M patient_2
cell_1197 M_M patient_2
cell_1198 M_M patient_2
cell_1199 M_M patient_2
cell_1200 M_M patient_2
cell_1201 M_M patient_2
cell_1202 M_M patient_2
cell_1203 M_M patient_2
cell_1204 M_M patient_2
cell_1205 M_M patient_2
cell_1206 M_M patient_2
cell_1207 M_M patient_2
cell_1208 M_M patient_2
cell_1209 M_M patient_2
cell_1210 M_M patient_2
cell_1211 M_M patient_2
cell_1212 M_M patient_2
cell_1213 M_M patient_2
cell_1214 M_M patient_2
cell_1215 M_M patient_2
cell_1216 M_M patient_2
cell_1217 M_M patient_2
cell_1218 M_M patient_2
cell_1219 M_M patient_2
cell_1220 M_M patient_2
cell_1221 M_M patient_2
cell_1222 M_M patient_2
cell_1223 M_M patient_2
cell_1224 M_M patient_2
cell_1225 M_M patient_2
cell_1226 M_M patient_2
cell_1227 M_M patient_2
cell_1228 M_M patient_2
cell_1229 M_M patient_2
cell_1230 M_M patient_2
cell_1231 M_M patient_2
cell_1232 M_M patient_2
cell_1233 M_M patient_2
cell_1234 M_M patient_2
cell_1235 M_M patient_2
cell_1236 M_M patient_2
cell_1237 M_M patient_2
cell_1238 M_M patient_2
cell_1239 M_M patient_2
cell_1240 M_M patient_2
cell_1241 M_M patient_2
cell_1242 M_M patient_2
cell_1243 M_M patient_2
cell_1244 M_M patient_2
cell_1245 M_M patient_2
cell_1246 M_M patient_2
cell_1247 M_M patient_2
cell_1248 M_M patient_2
cell_1249 M_M patient_2
cell_1250 M_M patient_2
cell_1251 M_M patient_2
cell_1252 M_M patient_2
cell_1253 M_M patient_2
cell_1254 M_M patient_2
cell_1255 M_M patient_2
cell_1256 M_M patient_2
cell_1257 M_M patient_2
cell_1258 M_M patient_2
cell_1259 M_M patient_2
cell_1260 M_M patient_2
cell_1261 M_M patient_2
cell_1262 M_M patient_2
cell_1263 M_M patient_2
cell_1264 M_M patient_2
cell_1265 M_M patient_2
cell_1266 M_M patient_2
cell_1267 M_M patient_2
cell_1268 M_M patient_2
cell_1269 M_M patient_2
cell_1270 M_M patient_2
cell_1271 M_M patient_2
cell_1272 M_M patient_2
cell_1273 M_M patient_2
cell_1274 M_M patient_2
cell_1275 M_M patient_2
cell_1276 M_M patient_2
cell_1277 M_M patient_2
cell_1278 M_M patient_2
cell_1279 M_M patient_2
cell_1280 M_M patient_2
cell_1281 M_M patient_2
cell_1282 M_M patient_2
cell_1283 M_M patient_2
cell_1284 M_M patient_2
cell_1285 M_M patient_2
cell_1286 M_M patient_2
cell_1287 M_M patient_2
cell_1288 M_M patient_2
cell_1289 M_M patient_2
cell_1290 M_M patient_2
cell_1291 M_M patient_2
cell_1292 M_M patient_2
cell_1293 M_M patient_2
cell_1294 M_M patient_2
cell_1295 M_M patient_2
cell_1296 M_M patient_2
cell_1297 M_M patient_2
cell_1298 M_M patient_2
cell_1299 M_M patient_2
cell_1300 M_M patient_2
cell_1301 M_M patient_2
cell_1302 M_M patient_2
cell_1303 M_M patient_2
cell_1304 M_M patient_2
cell_1305 M_M patient_2
cell_1306 M_M patient_2
cell_1307 M_M patient_2
cell_1308 M_M patient_2
cell_1309 M_M patient_2
cell_1310 M_M patient_2
cell_1311 M_M patient_2
cell_1312 M_M patient_2
cell_1313 M_M patient_2
cell_1314 M_M patient_2
cell_1315 M_M patient_2
cell_1316 M_M patient_2
cell_1317 M_M patient_2
cell_1318 M_M patient_2
cell_1319 M_M patient_2
cell_1320 M_M patient_2
cell_1321 M_M patient_2
cell_1322 M_M patient_2
cell_1323 M_M patient_2
cell_1324 M_M patient_2
cell_1325 M_M patient_2
cell_1326 M_M patient_2
cell_1327 M_M patient_2
cell_1328 M_M patient_2
cell_1329 M_M patient_2
cell_1330 M_M patient_2
cell_1331 M_M patient_2
cell_1332 M_M patient_2
cell_1333 M_M patient_2
cell_1334 M_M patient_2
cell_1335 M_M patient_2
cell_1336 M_M patient_2
cell_1337 M_M patient_2
cell_1338 M_M patient_2
cell_1339 M_M patient_2
cell_1340 M_M patient_2
cell_1341 M_M patient_2
cell_1342 M_M patient_2
cell_1343 M_M patient_2
cell_1344 M_M patient_2
cell_1345 M_M patient_2
cell_1346 M_M patient_2
cell_1347 M_M patient_2
cell_1348 M_M patient_2
cell_1349 M_M patient_2
cell_1350 M_M patient_2
cell_1351 M_M patient_2
cell_1352 M_M patient_2
cell_1353 M_M patient_2
cell_1354 M_M patient_2
cell_1355 M_M patient_2
cell_1356 M_M patient_2
cell_1357 M_M patient_2
cell_1358 M_M patient_2
cell_1359 M_M patient_2
cell_1360 M_M patient_2
cell_1361 M_M patient_2
cell_1362 M_M patient_2
cell_1363 M_M patient_2
cell_1364 M_M patient_2
cell_1365 M_M patient_2
cell_1366 M_M patient_2
cell_1367 M_M patient_2
cell_1368 M_M patient_2
cell_1369 M_M patient_2
cell_1370 M_M patient_2
cell_1371 M_M patient_2
cell_1372 M_M patient_2
cell_1373 M_M patient_2
cell_1374 M_M patient_2
cell_1375 M_M patient_2
cell_1376 M_M patient_2
cell_1377 M_M patient_2
cell_1378 M_M patient_2
cell_1379 M_M patient_2
cell_1380 M_M patient_2
cell_1381 M_M patient_2
cell_1382 M_M patient_2
cell_1383 M_M patient_2
cell_1384 M_M patient_2
cell_1385 M_M patient_2
cell_1386 M_M patient_2
cell_1387 M_M patient_2
cell_1388 M_M patient_2
cell_1389 M_M patient_2
cell_1390 M_M patient_2
cell_1391 M_M patient_2
cell_1392 M_M patient_2
cell_1393 M_M patient_2
cell_1394 M_M patient_2
cell_1395 M_M patient_2
cell_1396 M_M patient_2
cell_1397 M_M patient_2
cell_1398 M_M patient_2
cell_1399 M_M patient_2
cell_1400 M_M patient_2
cell_1401 M_M patient_2
cell_1402 M_M patient_2
cell_1403 M_M patient_2
cell_1404 M_M patient_2
cell_1405 M_M patient_2
cell_1406 M_M patient_2
cell_1407 M_M patient_2
cell_1408 M_M patient_2
cell_1409 M_M patient_2
cell_1410 M_M patient_2
cell_1411 M_M patient_2
cell_1412 M_M patient_2
cell_1413 M_M patient_2
cell_1414 M_M patient_2
cell_1415 M_M patient_2
cell_1416 M_M patient_2
cell_1417 M_M patient_2
cell_1418 M_M patient_2
cell_1419 M_M patient_2
cell_1420 M_M patient_2
cell_1421 M_M patient_2
cell_1422 M_M patient_2
cell_1423 M_M patient_2
cell_1424 M_M patient_2
cell_1425 M_M patient_2
cell_1426 M_M patient_2
cell_1427 M_M patient_2
cell_1428 M_M patient_2
cell_1429 M_M patient_2
cell_1430 M_M patient_2
cell_1431 M_M patient_2
cell_1432 M_M patient_2
cell_1433 M_M patient_2
cell_1434 M_M patient_2
cell_1435 M_M patient_2
cell_1436 M_M patient_2
cell_1437 M_M patient_2
cell_1438 M_M patient_2
cell_1439 M_M patient_2
cell_1440 M_M patient_2
cell_1441 M_M patient_2
cell_1442 M_M patient_2
cell_1443 M_M patient_2
cell_1444 M_M patient_2
cell_1445 M_M patient_2
cell_1446 M_M patient_2
cell_1447 M_M patient_2
cell_1448 M_M patient_2
cell_1449 M_M patient_2
cell_1450 M_M patient_2
cell_1451 M_M patient_2
cell_1452 M_M patient_2
cell_1453 M_M patient_2
cell_1454 M_M patient_2
cell_1455 M_M patient_2
cell_1456 M_M patient_2
cell_1457 M_M patient_2
cell_1458 M_M patient_2
cell_1459 M_M patient_2
cell_1460 M_M patient_2
cell_1461 M_M patient_2
cell_1462 M_M patient_2
cell_1463 M_M patient_2
cell_1464 M_M patient_2
cell_1465 M_M patient_2
cell_1466 M_M patient_2
cell_1467 M_M patient_2
cell_1468 M_M patient_2
cell_1469 M_M patient_2
cell_1470 M_M patient_2
cell_1471 M_M patient_2
cell_1472 M_M patient_2
cell_1473 M_M patient_2
cell_1474 M_M patient_2
cell_1475 M_M patient_2
cell_1476 M_M patient_2
cell_1477 M_M patient_2
cell_1478 M_M patient_2
cell_1479 M_M patient_2
cell_1480 M_M patient_2
cell_1481 M_M patient_2
cell_1482 M_M patient_2
cell_1483 M_M patient_2
cell_1484 M_M patient_2
cell_1485 M_M patient_2
cell_1486 M_M patient_2
cell_1487 M_M patient_2
cell_1488 M_M patient_2
cell_1489 M_M patient_2
cell_1490 M_M patient_2
cell_1491 M_M patient_2
cell_1492 M_M patient_2
cell_1493 M_M patient_2
cell_1494 M_M patient_2
cell_1495 M_M patient_2
cell_1496 M_M patient_2
cell_1497 M_M patient_2
cell_1498 M_M patient_2
cell_1499 M_M patient_2
cell_1500 M_M patient_2
cell_1501 M_M patient_2
cell_1502 M_M patient_2
cell_1503 M_M patient_2
cell_1504 M_M patient_2
cell_1505 M_M patient_2
cell_1506 M_M patient_2
cell_1507 M_M patient_2
cell_1508 M_M patient_2
cell_1509 M_M patient_2
cell_1510 M_M patient_2
cell_1511 M_M patient_2
cell_1512 M_M patient_2
cell_1513 M_M patient_2
cell_1514 M_M patient_2
cell_1515 M_M patient_2
cell_1516 M_M patient_2
cell_1517 M_M patient_2
cell_1518 M_M patient_2
cell_1519 M_M patient_2
cell_1520 M_M patient_2
cell_1521 M_M patient_2
cell_1522 M_M patient_2
cell_1523 M_M patient_2
cell_1524 M_M patient_2
cell_1525 M_M patient_2
cell_1526 M_M patient_2
cell_1527 M_M patient_2
cell_1528 M_M patient_2
cell_1529 M_M patient_2
cell_1530 M_M patient_2
cell_1531 M_M patient_2
cell_1532 M_M patient_2
cell_1533 M_M patient_2
cell_1534 M_M patient_2
cell_1535 M_M patient_2
cell_1536 M_M patient_2
cell_1537 M_M patient_2
cell_1538 M_M patient_2
cell_1539 M_M patient_2
cell_1540 M_M patient_2
cell_1541 M_M patient_2
cell_1542 M_M patient_2
cell_1543 M_M patient_2
cell_1544 M_M patient_2
cell_1545 M_M patient_2
cell_1546 M_M patient_2
cell_1547 M_M patient_2
cell_1548 M_M patient_2
cell_1549 M_M patient_2
cell_1550 M_M patient_2
cell_1551 M_M patient_2
cell_1552 M_M patient_2
cell_1553 M_M patient_2
cell_1554 M_M patient_2
cell_1555 M_M patient_2
cell_1556 M_M patient_2
cell_1557 M_M patient_2
cell_1558 M_M patient_2
cell_1559 M_M patient_2
cell_1560 M_M patient_2
cell_1561 M_M patient_2
cell_1562 M_M patient_2
cell_1563 M_M patient_2
cell_1564 M_M patient_2
cell_1565 M_M patient_2
cell_1566 M_M patient_2
cell_1567 M_M patient_2
cell_1568 M_M patient_2
cell_1569 M_M patient_2
cell_1570 M_M patient_2
cell_1571 M_M patient_2
cell_1572 M_M patient_2
cell_1573 M_M patient_2
cell_1574 M_M patient_2
cell_1575 M_M patient_2
cell_1576 M_M patient_2
cell_1577 M_M patient_2
cell_1578 M_M patient_2
cell_1579 M_M patient_2
cell_1580 M_M patient_2
cell_1581 M_M patient_2
cell_1582 M_M patient_2
cell_1583 M_M patient_2
cell_1584 M_M patient_2
cell_1585 M_M patient_2
cell_1586 M_M patient_2
cell_1587 M_M patient_2
cell_1588 M_M patient_2
cell_1589 M_M patient_2
cell_1590 M_M patient_2
cell_1591 M_M patient_2
cell_1592 M_M patient_2
cell_1593 M_M patient_2
cell_1594 M_M patient_2
cell_1595 M_M patient_2
cell_1596 M_M patient_2
cell_1597 M_M patient_2
cell_1598 M_M patient_2
cell_1599 M_M patient_2
cell_1600 M_M patient_2
cell_1601 M_M patient_2
cell_1602 M_M patient_2
cell_1603 M_M patient_2
cell_1604 M_M patient_2
cell_1605 M_M patient_2
cell_1606 M_M patient_2
cell_1607 M_M patient_2
cell_1608 M_M patient_2
cell_1609 M_M patient_2
cell_1610 M_M patient_2
cell_1611 M_M patient_2
cell_1612 M_M patient_2
cell_1613 M_M patient_2
cell_1614 M_M patient_2
cell_1615 M_M patient_2
cell_1616 M_M patient_2
cell_1617 M_M patient_2
cell_1618 M_M patient_2
cell_1619 M_M patient_2
cell_1620 M_M patient_2
cell_1621 M_M patient_2
cell_1622 M_M patient_2
cell_1623 M_M patient_2
cell_1624 M_M patient_2
cell_1625 M_M patient_2
cell_1626 M_M patient_2
cell_1627 M_M patient_2
cell_1628 M_M patient_2
cell_1629 M_M patient_2
cell_1630 M_M patient_2
cell_1631 M_M patient_2
cell_1632 M_M patient_2
cell_1633 M_M patient_2
cell_1634 M_M patient_2
cell_1635 M_M patient_2
cell_1636 M_M patient_2
cell_1637 M_M patient_2
cell_1638 M_M patient_2
cell_1639 M_M patient_2
cell_1640 M_M patient_2
cell_1641 M_M patient_2
cell_1642 M_M patient_2
cell_1643 M_M patient_2
cell_1644 M_M patient_2
cell_1645 M_M patient_2
cell_1646 M_M patient_2
cell_1647 M_M patient_2
cell_1648 M_M patient_2
cell_1649 M_M patient_2
cell_1650 M_M patient_2
cell_1651 M_M patient_2
cell_1652 M_M patient_2
cell_1653 M_M patient_2
cell_1654 M_M patient_2
cell_1655 M_M patient_2
cell_1656 M_M patient_2
cell_1657 M_M patient_2
cell_1658 M_M patient_2
cell_1659 M_M patient_2
cell_1660 M_M patient_2
cell_1661 M_M patient_2
cell_1662 M_M patient_2
cell_1663 M_M patient_2
cell_1664 M_M patient_2
cell_1665 M_M patient_2
cell_1666 M_M patient_2
cell_1667 M_M patient_2
cell_1668 M_M patient_2
cell_1669 M_M patient_2
cell_1670 M_M patient_2
cell_1671 M_M patient_2
cell_1672 M_M patient_2
cell_1673 M_M patient_2
cell_1674 M_M patient_2
cell_1675 M_M patient_2
cell_1676 M_M patient_2
cell_1677 M_M patient_2
cell_1678 M_M patient_2
cell_1679 M_M patient_2
cell_1680 M_M patient_2
cell_1681 M_M patient_2
cell_1682 M_M patient_2
cell_1683 M_M patient_2
cell_1684 M_M patient_2
cell_1685 M_M patient_2
cell_1686 M_M patient_2
cell_1687 M_M patient_2
cell_1688 M_M patient_2
cell_1689 M_M patient_2
cell_1690 M_M patient_2
cell_1691 M_M patient_2
cell_1692 M_M patient_2
cell_1693 M_M patient_2
cell_1694 M_M patient_2
cell_1695 M_M patient_2
cell_1696 M_M patient_2
cell_1697 M_M patient_2
cell_1698 M_M patient_2
cell_1699 M_M patient_2
cell_1700 M_M patient_2
cell_1701 M_M patient_2
cell_1702 M_M patient_2
cell_1703 M_M patient_2
cell_1704 M_M patient_2
cell_1705 M_M patient_2
cell_1706 M_M patient_2
cell_1707 M_M patient_2
cell_1708 M_M patient_2
cell_1709 M_M patient_2
cell_1710 NKC patient_2
cell_1711 NKC patient_2
cell_1712 NKC patient_2
cell_1713 NKC patient_2
cell_1714 NKC patient_2
cell_1715 NKC patient_2
cell_1716 NKC patient_2
cell_1717 NKC patient_2
cell_1718 NKC patient_2
cell_1719 NKC patient_2
cell_1720 NKC patient_2
cell_1721 NKC patient_2
cell_1722 NKC patient_2
cell_1723 NKC patient_2
cell_1724 NKC patient_2
cell_1725 NKC patient_2
cell_1726 NKC patient_2
cell_1727 NKC patient_2
cell_1728 NKC patient_2
cell_1729 NKC patient_2
cell_1730 NKC patient_2
cell_1731 NKC patient_2
cell_1732 NKC patient_2
cell_1733 NKC patient_2
cell_1734 NKC patient_2
cell_1735 NKC patient_2
cell_1736 NKC patient_2
cell_1737 NKC patient_2
cell_1738 NKC patient_2
cell_1739 NKC patient_2
cell_1740 NKC patient_2
cell_1741 NKC patient_2
cell_1742 NKC patient_2
cell_1743 NKC patient_2
cell_1744 NKC patient_2
cell_1745 NKC patient_2
cell_1746 NKC patient_2
cell_1747 NKC patient_2
cell_1748 NKC patient_2
cell_1749 NKC patient_2
cell_1750 NKC patient_2
cell_1751 NKC patient_2
cell_1752 NKC patient_2
cell_1753 NKC patient_2
cell_1754 NKC patient_2
cell_1755 NKC patient_2
cell_1756 NKC patient_2
cell_1757 NKC patient_2
cell_1758 NKC patient_2
cell_1759 NKC patient_2
cell_1760 NKC patient_2
cell_1761 OCC patient_2
cell_1762 OCC patient_2
cell_1763 OCC patient_2
cell_1764 OCC patient_2
cell_1765 OCC patient_2
cell_1766 OCC patient_2
cell_1767 OCC patient_2
cell_1768 OCC patient_2
cell_1769 OCC patient_2
cell_1770 OCC patient_2
cell_1771 OCC patient_2
cell_1772 OCC patient_2
cell_1773 OCC patient_2
cell_1774 OCC patient_2
cell_1775 OCC patient_2
cell_1776 OCC patient_2
cell_1777 OCC patient_2
cell_1778 OCC patient_2
cell_1779 OCC patient_2
cell_1780 OCC patient_2
cell_1781 OCC patient_2
cell_1782 OCC patient_2
cell_1783 OCC patient_2
cell_1784 OCC patient_2
cell_1785 OCC patient_2
cell_1786 OCC patient_2
cell_1787 OCC patient_2
cell_1788 OCC patient_2
cell_1789 OCC patient_2
cell_1790 OCC patient_2
cell_1791 OCC patient_2
cell_1792 OCC patient_2
cell_1793 OCC patient_2
cell_1794 OCC patient_2
cell_1795 reg_tcells patient_2
cell_1796 unknown patient_2
cell_1797 unknown patient_2
cell_1798 unknown patient_2
cell_1799 unknown patient_2
cell_1800 unknown patient_2
cell_1801 unknown patient_2
cell_1802 unknown patient_2
cell_1803 unknown patient_2
cell_1804 unknown patient_2
cell_1805 unknown patient_2
cell_1806 unknown patient_2
cell_1807 unknown patient_2
cell_1808 unknown patient_2
cell_1809 unknown patient_2
cell_1810 unknown patient_2
cell_1811 unknown patient_2
cell_1812 unknown patient_2
cell_1813 unknown patient_2
cell_1814 unknown patient_2
cell_1815 unknown patient_2
cell_1816 unknown patient_2
cell_1817 unknown patient_2
cell_1818 unknown patient_2
cell_1819 unknown patient_2
cell_1820 unknown patient_2
cell_1821 unknown patient_2
cell_1822 unknown patient_2
cell_1823 unknown patient_2
cell_1824 unknown patient_2
cell_1825 unknown patient_2
cell_1826 unknown patient_2
cell_1827 unknown patient_2
cell_1828 unknown patient_2
cell_1829 unknown patient_2
cell_1830 unknown patient_2
cell_1831 unknown patient_2
cell_1832 unknown patient_2
cell_1833 unknown patient_2
cell_1834 unknown patient_2
cell_1835 B_cells patient_3
cell_1836 B_cells patient_3
cell_1837 B_cells patient_3
cell_1838 B_cells patient_3
cell_1839 B_cells patient_3
cell_1840 Cancer_fb patient_3
cell_1841 Cancer_fb patient_3
cell_1842 Cancer_fb patient_3
cell_1843 Cancer_fb patient_3
cell_1844 Cancer_fb patient_3
cell_1845 Cancer_fb patient_3
cell_1846 Cancer_fb patient_3
cell_1847 Cancer_fb patient_3
cell_1848 Cancer_fb patient_3
cell_1849 Cancer_fb patient_3
cell_1850 Cancer_fb patient_3
cell_1851 Cancer_fb patient_3
cell_1852 Cancer_fb patient_3
cell_1853 Cancer_fb patient_3
cell_1854 Cancer_fb patient_3
cell_1855 Cancer_fb patient_3
cell_1856 CD4_tcells patient_3
cell_1857 CD4_tcells patient_3
cell_1858 CD4_tcells patient_3
cell_1859 CD4_tcells patient_3
cell_1860 CD4_tcells patient_3
cell_1861 CD4_tcells patient_3
cell_1862 CD4_tcells patient_3
cell_1863 CD4_tcells patient_3
cell_1864 CD4_tcells patient_3
cell_1865 CD4_tcells patient_3
cell_1866 CD4_tcells patient_3
cell_1867 CD4_tcells patient_3
cell_1868 CD4_tcells patient_3
cell_1869 CD4_tcells patient_3
cell_1870 CD4_tcells patient_3
cell_1871 CD4_tcells patient_3
cell_1872 CD4_tcells patient_3
cell_1873 CD4_tcells patient_3
cell_1874 CD4_tcells patient_3
cell_1875 CD4_tcells patient_3
cell_1876 CD4_tcells patient_3
cell_1877 CD4_tcells patient_3
cell_1878 CD4_tcells patient_3
cell_1879 CD4_tcells patient_3
cell_1880 CD4_tcells patient_3
cell_1881 CD4_tcells patient_3
cell_1882 CD4_tcells patient_3
cell_1883 CD4_tcells patient_3
cell_1884 CD4_tcells patient_3
cell_1885 CD4_tcells patient_3
cell_1886 CD4_tcells patient_3
cell_1887 CD4_tcells patient_3
cell_1888 CD4_tcells patient_3
cell_1889 CD4_tcells patient_3
cell_1890 CD4_tcells patient_3
cell_1891 CD4_tcells patient_3
cell_1892 CD4_tcells patient_3
cell_1893 CD4_tcells patient_3
cell_1894 CD4_tcells patient_3
cell_1895 CD4_tcells patient_3
cell_1896 CD4_tcells patient_3
cell_1897 CD4_tcells patient_3
cell_1898 CD4_tcells patient_3
cell_1899 CD4_tcells patient_3
cell_1900 CD4_tcells patient_3
cell_1901 CD4_tcells patient_3
cell_1902 CD4_tcells patient_3
cell_1903 CD4_tcells patient_3
cell_1904 CD4_tcells patient_3
cell_1905 CD4_tcells patient_3
cell_1906 CD4_tcells patient_3
cell_1907 CD4_tcells patient_3
cell_1908 CD4_tcells patient_3
cell_1909 CD4_tcells patient_3
cell_1910 CD4_tcells patient_3
cell_1911 CD4_tcells patient_3
cell_1912 CD4_tcells patient_3
cell_1913 CD4_tcells patient_3
cell_1914 CD4_tcells patient_3
cell_1915 CD4_tcells patient_3
cell_1916 CD4_tcells patient_3
cell_1917 CD4_tcells patient_3
cell_1918 CD4_tcells patient_3
cell_1919 CD4_tcells patient_3
cell_1920 CD4_tcells patient_3
cell_1921 CD4_tcells patient_3
cell_1922 CD4_tcells patient_3
cell_1923 CD4_tcells patient_3
cell_1924 CD4_tcells patient_3
cell_1925 CD4_tcells patient_3
cell_1926 CD4_tcells patient_3
cell_1927 CD4_tcells patient_3
cell_1928 CD4_tcells patient_3
cell_1929 CD4_tcells patient_3
cell_1930 CD4_tcells patient_3
cell_1931 CD4_tcells patient_3
cell_1932 CD4_tcells patient_3
cell_1933 CD4_tcells patient_3
cell_1934 CD4_tcells patient_3
cell_1935 CD4_tcells patient_3
cell_1936 CD4_tcells patient_3
cell_1937 CD4_tcells patient_3
cell_1938 CD4_tcells patient_3
cell_1939 CD4_tcells patient_3
cell_1940 CD4_tcells patient_3
cell_1941 CD4_tcells patient_3
cell_1942 CD4_tcells patient_3
cell_1943 CD4_tcells patient_3
cell_1944 CD4_tcells patient_3
cell_1945 CD4_tcells patient_3
cell_1946 CD4_tcells patient_3
cell_1947 CD4_tcells patient_3
cell_1948 CD4_tcells patient_3
cell_1949 CD4_tcells patient_3
cell_1950 CD4_tcells patient_3
cell_1951 CD4_tcells patient_3
cell_1952 CD4_tcells patient_3
cell_1953 CD4_tcells patient_3
cell_1954 CD4_tcells patient_3
cell_1955 CD4_tcells patient_3
cell_1956 CD8_tcells patient_3
cell_1957 CD8_tcells patient_3
cell_1958 CD8_tcells patient_3
cell_1959 CD8_tcells patient_3
cell_1960 CD8_tcells patient_3
cell_1961 D_cells patient_3
cell_1962 D_cells patient_3
cell_1963 D_cells patient_3
cell_1964 D_cells patient_3
cell_1965 D_cells patient_3
cell_1966 D_cells patient_3
cell_1967 D_cells patient_3
